date,adjclose
2019-02-26,249.874
2019-02-27,249.7667
2019-02-28,249.3015
2019-03-01,250.858
2019-03-04,249.9455
2019-03-05,249.6057
2019-03-06,248.0938
2019-03-07,246.0184
2019-03-08,245.5263
2019-03-11,249.0868
2019-03-12,250.0261
2019-03-13,251.681
2019-03-14,251.5201
2019-03-15,252.7627
2019-03-18,253.6792
2019-03-19,253.7421
2019-03-20,252.9783
2019-03-21,255.8356
2019-03-22,250.9117
2019-03-25,250.7231
2019-03-26,252.592
2019-03-27,251.2712
2019-03-28,252.2235
2019-03-29,253.8139
2019-04-01,256.8239
2019-04-02,256.9498
2019-04-03,257.3541
2019-04-04,258.037
2019-04-05,259.286
2019-04-08,259.4836
2019-04-09,258.1539
2019-04-10,259.0344
2019-04-11,258.9624
2019-04-12,260.7147
2019-04-15,260.5439
2019-04-16,260.7147
2019-04-17,260.0767
2019-04-18,260.5888
2019-04-22,260.8134
2019-04-23,263.1586
2019-04-24,262.5745
2019-04-25,262.4127
2019-04-26,263.6348
2019-04-29,264.0481
2019-04-30,264.1829
2019-05-01,262.1972
2019-05-02,261.6311
2019-05-03,264.1918
2019-05-06,263.1046
2019-05-07,258.7108
2019-05-08,258.3516
2019-05-09,257.5697
2019-05-10,258.8637
2019-05-13,252.3583
2019-05-14,254.6405
2019-05-15,256.1321
2019-05-16,258.5042
2019-05-17,256.8329
2019-05-20,255.1348
2019-05-21,257.435
2019-05-22,256.6443
2019-05-23,253.5085
2019-05-24,254.0835
2019-05-28,251.7205
2019-05-29,250.0312
2019-05-30,250.714
2019-05-31,247.3356
2019-06-03,246.7066
2019-06-04,252.0618
2019-06-05,254.2453
2019-06-06,255.8986
2019-06-07,258.4594
2019-06-10,259.6454
2019-06-11,259.5825
2019-06-12,259.1243
2019-06-13,260.1935
2019-06-14,259.906
2019-06-17,260.0047
2019-06-18,262.7273
2019-06-19,263.3203
2019-06-20,265.8362
2019-06-21,265.4498
2019-06-24,265.1247
2019-06-25,262.5243
2019-06-26,262.2626
2019-06-27,263.1924
2019-06-28,264.5468
2019-07-01,266.9486
2019-07-02,267.6438
2019-07-03,269.7835
2019-07-05,269.4765
2019-07-08,267.9958
2019-07-09,268.3298
2019-07-10,269.6121
2019-07-11,270.244
2019-07-12,271.454
2019-07-15,271.5442
2019-07-16,270.6684
2019-07-17,268.8265
2019-07-18,269.8107
2019-07-19,268.3119
2019-07-22,268.971
2019-07-23,270.8942
2019-07-24,272.1672
2019-07-25,270.8671
2019-07-26,272.6819
2019-07-29,272.1853
2019-07-30,271.5171
2019-07-31,268.5465
2019-08-01,266.2082
2019-08-02,264.2037
2019-08-05,256.2583
2019-08-06,259.8517
2019-08-07,260.0053
2019-08-08,265.1066
2019-08-09,263.3008
2019-08-12,260.0956
2019-08-13,264.1405
2019-08-14,256.3305
2019-08-15,257.0077
2019-08-16,260.7998
2019-08-19,263.9419
2019-08-20,261.9195
2019-08-21,264.0502
2019-08-22,263.969
2019-08-23,257.1883
2019-08-26,260.0324
2019-08-27,259.0121
2019-08-28,260.836
2019-08-29,264.1676
2019-08-30,264.0502
2019-09-03,262.5063
2019-09-04,265.4859
2019-09-05,268.8989
2019-09-06,269.1065
2019-09-09,269.2419
2019-09-10,269.1786
2019-09-11,271.0928
2019-09-12,272.0318
2019-09-13,271.8512
2019-09-16,271.0115
2019-09-17,271.6977
2019-09-18,271.8603
2019-09-19,271.8422
2019-09-20,270.5578
2019-09-23,270.4943
2019-09-24,268.3718
2019-09-25,269.9592
2019-09-26,269.3967
2019-09-27,267.9455
2019-09-30,269.1881
2019-10-01,265.9862
2019-10-02,261.2876
2019-10-03,263.4283
2019-10-04,266.9931
2019-10-07,265.8411
2019-10-08,261.714
2019-10-09,264.1992
2019-10-10,265.9862
2019-10-11,268.7437
2019-10-14,268.4443
2019-10-15,271.102
2019-10-16,270.6667
2019-10-17,271.4648
2019-10-18,270.2766
2019-10-21,272.1089
2019-10-22,271.22
2019-10-23,272.0091
2019-10-24,272.4536
2019-10-25,273.5693
2019-10-28,275.1112
2019-10-29,275.0295
2019-10-30,275.8732
2019-10-31,275.1384
2019-11-01,277.6873
2019-11-04,278.8029
2019-11-05,278.4946
2019-11-06,278.558
2019-11-07,279.5377
2019-11-08,280.2271
2019-11-11,279.6919
2019-11-12,280.2815
2019-11-13,280.3722
2019-11-14,280.7803
2019-11-15,282.8121
2019-11-18,283.0209
2019-11-19,282.9391
2019-11-20,281.887
2019-11-21,281.4334
2019-11-22,282.0593
2019-11-25,284.2454
2019-11-26,284.8893
